fz,pn_lot,item_name,okpd2_code,ktru_code,drug_purchase_object
44fz,0330100013121000043_,Пакет (Конверт немаркированный),58.19.19.190,,
44fz,0315300000521000048_,"Кресло-коляска, управляемая пациентом/сопровождающим лицом, с приводом на задние колеса, складная",,30.92.20.000-00000013,
44fz,0816500000621007391_,Труба напорная из термопластов,,22.21.29.110-00000006,
44fz,0816500000621007391_,Аэратор канализационный,22.21.29.120,,
44fz,0816500000621007391_,Заглушка,22.21.29.120,,
44fz,0816500000621007391_,Заглушка на канализационную трубу,22.21.29.120,,
44fz,0816500000621007391_,Кран,22.21.29.120,,
44fz,0816500000621007391_,крепление,22.21.29.120,,
44fz,0816500000621007391_,крепленние,22.21.29.120,,
44fz,0816500000621007391_,Лён сантехнический,22.21.29.120,,
44fz,0816500000621007391_,Лента ФУМ,22.21.29.120,,
44fz,0816500000621007391_,Манжета,22.21.29.120,,
44fz,0816500000621007391_,Монтажная планка,22.21.29.120,,
44fz,0816500000621007391_,Муфта,22.21.29.120,,
44fz,0816500000621007391_,Отвод,22.21.29.120,,
44fz,0816500000621007391_,Паста,22.21.29.120,,
44fz,0816500000621007391_,Прокладка,22.21.29.120,,
44fz,0816500000621007391_,Прокладка р,22.21.29.120,,
44fz,0816500000621007391_,Силиконовый санитарный герметик,22.21.29.120,,
44fz,0816500000621007391_,Тройник,22.21.29.120,,
44fz,0816500000621007391_,Труба,22.21.29.110,,
44fz,0816500000621007391_,Труба,22.21.29.120,,
44fz,0816500000621007391_,Труба напорная из термопластов,,22.21.29.110-00000006,
44fz,0816500000621007391_,Труба напорная из термопластов,,22.21.29.110-00000006,
44fz,0816500000621007391_,Труба напорная из термопластов,,22.21.29.110-00000006,
44fz,0816500000621007391_,Труба напорная из термопластов,,22.21.29.110-00000006,
44fz,0816500000621007391_,Уплотнительное кольцо для канализационной трубы ф110,22.21.29.120,,
44fz,0816500000621007391_,Уплотнительное кольцо для канализационной трубы ф50,22.21.29.120,,
44fz,0325200000221000234_,"Канюля/игла для приготовления лекарственных средств, стерильная",,32.50.13.110-00005040,
44fz,0353100003123000084_,БЕНЗИЛБЕНЗОАТ,21.20.10.243,,True
44fz,0356500005922000151_,БЕНЗИЛБЕНЗОАТ,21.20.10.243,,True
44fz,0371500000323000261_,БЕНЗИЛБЕНЗОАТ,21.20.10.243,,True
44fz,0304200002922000038_,ЦЕФОПЕРАЗОН,21.20.10.191,,True
44fz,0304200005523000042_,ЦЕФОПЕРАЗОН,21.20.10.191,,True
44fz,0173200001423000580_,ИПИЛИМУМАБ,21.20.10.211,,True
44fz,0873500001823003058_,ИПИЛИМУМАБ,21.20.10.211,,True
44fz,0303200036423000223_,РАБЕПРАЗОЛ,21.20.10.112,,True
44fz,0301300016022000141_,ТРИМЕПЕРИДИН,21.20.10.231,,True
44fz,0348300145722000173_,НИКЕТАМИД,21.20.10.259,,True
44fz,0864500000223004755_,НИКЕТАМИД,21.20.10.259,,True
44fz,0321300020723000014_,НИКЕТАМИД,21.20.10.259,,True
44fz,0321300003923000414_,МЕТРОНИДАЗОЛ,21.20.10.191,,True
44fz,0321200015423000394_,МЕТРОНИДАЗОЛ,21.20.10.191,,True
223fz,32211310285_1,,45.20.11.219,,
223fz,32312785739_1,,25.93.14.120,,
223fz,32312748721_1,корректирующая жидкость,20.59.59.900,,
223fz,32211225344_1,Опрыскиватель аккумуляторный,28.30.60.000,,
223fz,32312104832_1,Нож канцелярский,25.71.13.110,,
223fz,32211752949_1,Молочная продукция,10.51.52.140,,
223fz,32211323010_1,,71.1,,
223fz,32312907817_1,Папка архивная тип 3,17.23.13.193,,
223fz,32312207379_1,заглушка ф75,22.21.29.130,,
223fz,32313062095_1,Поставка метизов,25.99.29.190,,
223fz,32211661364_1,Цифровой термогигрометр (гигрометр психрометрический),26.51.51.140,,
223fz,32312266212_1,Зажимы для бумаг,25.99.23.000,,
223fz,32312232795_1,Шпагат. Длина намотки не менее 625 м Диаметр не менее 2 мм Разрывная нагрузка не менее 80 кгс Цвет белый Линейная плотность - 1600 текс Вес бухты - 1 кг.,13.94.11.110,,
223fz,32312150027_1,"Вес: 15 г. Количество в комплекте: 1 шт. Основа клея: PVP. Назначение: бумага, картон, фотобумага. Форма корпуса: круглая.",20.52.10.190,,
223fz,32312235144_1,Поставка канцелярских товаров и прочих офисных принадлежностей для нужд ГАУ ЦСП РБ им. Баталовой Р.А.,26.51.33.141,,
223fz,32312207379_1,бурт ф110,22.21.29.130,,
223fz,32312234673_1,Скрепки никелир.  50-51 мм  50 уп.,25.99.23.000,,
223fz,32312089327_1,,28.14.13.131,,
223fz,32312230076_1,Стикер,17.23.11.150,,
223fz,32312765299_1,"Сверло (3,2*65мм)",25.73.40.111,,
223fz,32312353374_1,"Поставка бумаги, канцелярских товаров и принадлежностей",20.30,,
223fz,32211312749_1,Бакалея. прочая продукция,10.61.31.110,,
223fz,32312805060_1,Свеча зажигания BR8ES,45.40.50.115,,
223fz,32312353374_1,"Поставка бумаги, канцелярских товаров и принадлежностей",20.13,,
223fz,32312117973_1,Расходные материалы (картриджи) для принтера Brother HL L2300D/L2340DW.  Картридж Brother TN-2375.,28.23.25.000,,
223fz,32313148706_1,"Маркер по металлу лаковый, цвет черный",32.99.12.120,,
223fz,32312869946_1,Салфетки влажные для экранов в упаковке,22.29.25.000,,
223fz,32312072136_1,Крупа манная,10.61.31.111,,
223fz,32312720954_1,,20.52.10.190,,
223fz,32211168966_1,,43.29.19.190,,
223fz,32211222093_1,,43.29.19.190,,
223fz,32312452365_1,Папка архивная с завязками,17.23.13.199,,
223fz,32211372270_1,Сметана,10.51.52.200,,
223fz,32211420667_1,"Закупка продуктов питания( молочная продукция и молоко жирность 3,2%, фасовка 0,5л.)",10.51.11.111,,
223fz,32312266212_1,Карандаш чернографитный,32.99.15.110,,
223fz,32312036382_1,"Ручка шариковая автоматическая 0,7мм синяя",32.99.12.110,,
223fz,32312388480_1,Туалетная бумага в больших рулонах,17.22.11.110,,
223fz,32312177533_1,молочная продукция,10.51.11.111,,
223fz,32312172548_1,Манжета резиновая 160*160,22.19.73.114,,
223fz,32312765299_1,Круг лепестковый торцевой (КЛТ) MAKITA  125*5 мм,23.91.11.140,,
223fz,32312672122_1,,32.99.12.120,,
223fz,32211695104_1,крупа манная,10.61.31.111,,
223fz,32312124058_1,Степлер № 24,25.99.22.130,,
223fz,32312252337_1,"Оказание услуг по ремонту, техническому обслуживанию оргтехники",95.11.10.110,,
223fz,32312184437_1,Ряженка,10.51.52.130,,
223fz,32312748721_1,точилка,25.71.13.110,,
223fz,32211614686_1,,42.22.22.110,,
223fz,32211661364_1,Имитация кожного покрова  для тренажера по отработке навыков ветеринарной хирургии,32.99.53.120,,
223fz,32312900129_1,Конверт почт. оф. С4 229х324,17.23.12.110,,
223fz,32312574243_1,Клей-карандаш,20.52.10.110,,
223fz,32312172548_1,Заглушка 110,22.21.29.130,,
223fz,32312117973_1,"Расходные материалы (картриджи) для принтера Kyocera FS-1130MFP , Ecosys M2530dn , Ecosys M2030dn/pn , Ecosys M2030dn. Картридж Kyocera TK-1130. Цвет печати черный. Оригинальный",28.23.25.000,,
223fz,32312118188_1,Степлер №24,22.29.25.000,,
223fz,32312709926_1,папка на кольцах,22.29.25.000,,
223fz,32211100354_1,Восстановление дамбы водозаборного ковша береговой насосной станции Владивостокской ТЭЦ-2,43.99,,
223fz,32312013767_1,Ручка шариковая (2),32.99.12.110,,
223fz,32312641314_1,,22.29.29.190,,
223fz,32312049481_1,Портфель,22.29.25.000,,
223fz,32312281861_1,Поставка сухого молока  для  ГАУЗ Брянская областная больница № 1,10.51.22.113,,
223fz,32313040919_1,Оказание услуг по заправке и восстановлению картриджей для принтеров и многофункциональных устройств.,95.11.10.130,,
223fz,32312266212_1,Ручка шариковая неавтоматическая,32.99.12.110,,
223fz,32211645823_1,Молочная продукция,10.51.52.113,,
223fz,32211621367_1,Творог,10.51.40.300,,
223fz,32313039582_1,Поставка товаров офисного значения (канцтовары) (среди (исключительно) субъектов малого и среднего предпринимательства),26.20.40.110,,
223fz,32312230076_1,Корректирующая жидкость,20.59.59.900,,
223fz,32313148706_1,Корзина для мусора металлическая,25.99.29.190,,
223fz,32312765299_1,"Сверло (4,5*80мм)",25.73.40.111,,
223fz,32312441090_1,"Папка-конверт на кнопке. Изготовлена из пластика, формата А4 закрывается на кнопку. Толщина пластика не менее 280 мкм. Вмещает до 100 листов стандартной плотности. Поверхность папки имеет специальный рисунок, защищающий ее содержимое от постороннего прочтения.",22.29.25.000,,
223fz,32312821241_1,Канцелярские принадлежности,22.29.21.000,,
223fz,32211952153_1,,42.22.22.110,,
223fz,32312234673_1,Дырокол 15 шт.,25.99.22.130,,
223fz,32312785739_1,,32.99.14.130,,
223fz,32312398741_1,Поставка лекарственных препаратов для ГАУЗ Брянская областная больница № 1,21.20.10.112,,
223fz,32312265688_1,Поставка электродов для электромиографии,26.60.12.121,,
44fz,0372100021723000159_,Лента для бейджа,13.94.12.190,,
44fz,0864500000222000400_,Ремонт (восстановление) картриджа CE542A,95.11.10.130,,
44fz,0372200177323000021_,Обслуживание электрических тепловых завес 2 шт.,33.12.18.000,,
44fz,0850200000422001220_,Дрожжи хлебопекарные прессованные,,10.89.13.111-00000003,
44fz,0373100056022000476_,Кухонный гарнитур тип 4,31.02.10.140,,
44fz,0373200068623000034_,"Услуга по проведению медицинского осмотра работников, занятых на тяжелых работах и на работах с вредными и (или) опасными условиями труда",,86.21.10.120-00000007,
44fz,0358300180322000051_,Наклейка  (МФУ Brother DCP-L550),95.11.10.120,,
44fz,0131100013122000021_,Флажок датчика наличия бумаги в кассете,33.12.16.000,,
44fz,0174500001122002518_,"Замена ролика подачи бумаги принтера Xerox Phaser 3140, 3160",95.11.10.190,,
44fz,0358300180322000051_,Сенсорная панель   (Canon IPF 8400),95.11.10.120,,
44fz,0131100006623000212_,Заправка тонер-картриджа AR-020T,95.11.10.190,,
44fz,0321300014422000185_,Йогурт,,10.51.52.110-00000003,
44fz,0358300180322000051_,Тонер TN-216M   (Konica Minolta bizhub C220),95.11.10.120,,
44fz,0373200063122000714_,"Комплект реагентов для выделения РНК/ДНК из клинического материала, 100 определений",20.59.52.199,,
44fz,0372100030623000455_,Винт костный для стержней,32.50.22.127,,
44fz,0318200032423000076_,"Определение ДНК цитомегаловируса (Cytomegalovirus) в отделяемом из влагалища методом ПЦР, качественное исследование",86.90.15.000,,
44fz,0358300079423000639_,Многофункциональные устройства (МФУ): обслуживание,95.11.10.110,,
44fz,0322300007022000249_,Унитаз,,23.42.10.150-00000006,
44fz,0303200036422000442_,"Катетер внутрисосудистый проводниковый, одноразового использования",,32.50.13.110-00005033,
44fz,0174500001122002518_,Замена узла сканирования МФУ Gestetner (Aficio) MP171,95.11.10.190,,
44fz,0358300180322000030_,Тонер-картридж Lexmark 605H 10К,95.11.10.120,,
44fz,0321200011623000014_,Брюки для мальчиков,14.13.24.110,,
44fz,0174500001122005510_,Ремонт HP laser Jet Pro MFP M426Fdw,95.11.10.110,,
44fz,0309300068022000002_,Фильтр масляный,28.29.13.110,,
44fz,0816500000623009852_,Электрокипятильник,,27.51.25.110-00000001,
44fz,0150200003923000720_,Отвертка PH2,25.73.30.232,,
44fz,0869400000223000021_,Леска для триммера Champion Round круг 3.0 мм х 60 м или эквивалент,22.21.10.110,,
44fz,0373200017322000027_,Шкаф деревянный для документов,,31.01.12.139-00000001,
44fz,0331100004423000271_,Заправка HP 44A,95.11.10.130,,
44fz,0129100004223000016_,"Оказание услуг по ремонту компьютерного и периферийного оборудования. Замена блока питания (форм-фактор - АТХ, мощность - 350 Вт, питание материнской платы и процессора – 24+4 pin, количество вентиляторов – один, размер вентилятора -120 мм).",95.11.10.190,,
44fz,0346300089423000274_,Батарея аккумуляторная 12V 7 A/h,95.11.10.110,,
44fz,0316100012123000068_,Папка картонная,,17.23.13.193-00000007,
44fz,0372200165823000015_,Анализ воды на легионеллы (исследования горячей воды) (школа),86.90.19.110,,
44fz,0321300035823000229_,Скобы для степлера,,25.99.23.000-00000007,
44fz,0375200016122000018_,Дуплексное сканирование  сосудов (артерий и вен) нижних конечностей (2 конечности),86.90.19.190,,
44fz,0873500000822001371_,Средство моющее для туалетов и ванных комнат,,20.41.32.114-00000004,
44fz,0342200001722000095_,"Пробирка вакуумная для взятия образцов крови ИВД, с активатором свертывания",,32.50.50.000-00001456,
44fz,0131100005322000026_,Заправка тонером картриджа Kyocera M3540idn для Kyocera M3540idn,95.11.10.130,,
44fz,0350100006823000023_,Свекла столовая,,01.13.49.110-00000003,
44fz,0379200005123000081_,МЕТРОНИДАЗОЛ,21.20.10.191,,True
44fz,0379200006723000132_,МЕТРОНИДАЗОЛ,21.20.10.191,,True
44fz,0825500000723003889_,МЕТРОНИДАЗОЛ,21.20.10.191,,True
44fz,0174500001123000893_,МЕТРОНИДАЗОЛ,21.20.10.191,,True
44fz,0338300007822000141_,МЕТРОНИДАЗОЛ,21.20.10.191,,True
44fz,0321300003923000058_,МЕТРОНИДАЗОЛ,21.20.10.191,,True
44fz,0320100031523000016_,МЕТРОНИДАЗОЛ,21.20.10.191,,True
44fz,0353100003123000084_,МЕТРОНИДАЗОЛ,21.20.10.191,,True
44fz,0873500001823010406_,ЗОПИКЛОН,21.20.10.235,,True
44fz,0329100015623000144_,БУТАМИРАТ+ГВАЙФЕНЕЗИН,21.20.10.255,,True
44fz,0371300010423000070_,АЗИТРОМИЦИН,21.20.10.191,,True
44fz,0308300014222000186_,ОНДАНСЕТРОН,21.20.10.110,,True
44fz,0303200036423000097_,ОНДАНСЕТРОН,21.20.10.110,,True
44fz,0373200099723000324_,ОНДАНСЕТРОН,21.20.10.110,,True
44fz,0338200002223000202_,ОНДАНСЕТРОН,21.20.10.110,,True
44fz,0328300007322000056_,ОНДАНСЕТРОН,21.20.10.110,,True
44fz,0369100004723000475_,ОНДАНСЕТРОН,21.20.10.110,,True
44fz,0303200036423000095_,ОНДАНСЕТРОН,21.20.10.110,,True
44fz,0373100072123001728_,РИВАРОКСАБАН,21.20.10.131,,True
44fz,0303200036423000394_,РИВАРОКСАБАН,21.20.10.131,,True
44fz,0310200000323000073_,РИВАРОКСАБАН,21.20.10.131,,True
44fz,0860200000822008684_,РИВАРОКСАБАН,21.20.10.131,,True
44fz,0375200037423000042_,АМАНТАДИН,21.20.10.234,,True
44fz,0373200157322000035_,ЗУКЛОПЕНТИКСОЛ,21.20.10.235,,True
44fz,0167200003422005939_,РИОЦИГУАТ,21.20.10.142,,True
44fz,0373200029722008714_,РИОЦИГУАТ,21.20.10.142,,True
44fz,0321300009222000012_,КАНАМИЦИН,21.20.10.191,,True
44fz,0328300007922000074_,ЛЕРКАНИДИПИН,21.20.10.147,,True
44fz,0373200015523000213_,МИРТАЗАПИН,21.20.10.236,,True
44fz,0373200025622000024_,ОКТЕНИДИНА ДИГИДРОХЛОРИД+ФЕНОКСИЭТАНОЛ,21.20.10.158,,True
44fz,0318200077022000647_,РИБОЦИКЛИБ,21.20.10.211,,True
44fz,0304200005622000153_,РИБОЦИКЛИБ,21.20.10.211,,True
223fz,32312117973_1,Расходные материалы (картриджи лазерные) для принтера HP Pro OJ 8600. Картридж HP 951XL CN047AE (пурпурный). Оригинальный,28.23.25.000,,
223fz,32312106349_1,Поставка канцелярских товаров,22.29.25.000,,
223fz,32211661364_1,рНметр,26.60.12.119,,
223fz,32211525712_1,,42.22.22.110,,
223fz,32312117973_1,Расходные материалы (картриджи) для принтера HP DJ lnk Advantage 2515/3515.  Картридж HP 650 CZ101AE  (черный).,28.23.25.000,,
223fz,32312343177_1,Скос травы  и мелкого кустарника с вывозом с территории подстанций,43.12.11.140,,
223fz,32312234673_1,"Ручка шарик. на липучке 0,7 мм 10 шт.",32.99.12.110,,
223fz,32312121135_1,,20.52.10.110,,
223fz,32312147605_1,Бакалея,10.81.12.110,,
223fz,32211614235_1,Продукты питания (мясо),10.11.20.110,,
223fz,32211451900_1,,42.22.22.110,,
223fz,32312254061_1,Компенсатор фланцевый антивибрационный резиновый Ду125,22.19.73.119,,
223fz,32211668515_1,Закупка продуктов питания (БАКАЛЕЯ),10.61.21.113,,
223fz,32312224164_1,,49.41.19.900,,
223fz,32211312749_1,Бакалея. прочая продукция,10.61.21.113,,
223fz,32312534477_1,Поставка канцелярских товаров,26.51.33.141,,
223fz,32312124058_1,Блокнот 80л,17.23.13.199,,
223fz,32312150484_1,Папка для подписи руководителю На подпись,17.23.13.193,,
223fz,32312619639_1,Цветные карандаши 12 штук,32.99.15.110,,
223fz,32312230076_1,Ластик каучуковый,22.19.20.112,,
223fz,32312953136_1,,22.29.25.000,,
223fz,32211708289_1,"Поставка спецодежды, спецобуви и других средств индивидуальной защиты.",14.12.11.120,,
223fz,32212000373_1,Поставка изделий медицинского назначения: линзы интраокулярные,32.50.22.181,,
223fz,32312277726_1,Поставка канцелярских товаров,22.22.13.190,,
223fz,32313011202_1,,26.51.33.141,,
223fz,32211523568_1,Йогурт,10.51.52.112,,
223fz,32312062218_1,"Оказание транспортных услуг по приемке, доставке и выгрузке золы-уноса сухого отбора для нужд ОСП Рефтинская ГРЭС",39.00.22.000,,
223fz,32312049481_1,"Маркер перманентный, черный 2,5 мм",32.99.12.120,,
223fz,32312748721_1,папка архивная на завязках 50мм,17.23.13.193,,
223fz,32312104832_1,Клейкие закладки бумажные,17.23.13.199,,
223fz,32312740875_1,,25.73.40.110,,
223fz,32312869946_1,Файл – вкладыш Тип 1,22.29.25.000,,
223fz,32312619639_1,Батарейки ААА (в комплекте 2 шт),27.20.11.000,,
223fz,32312869946_1,Текстовыделитель,32.99.12.120,,
223fz,32312170009_1,"Саморезы 3,5х50/51 мм по дереву",25.94.11.120,,
223fz,32312045325_1,Молочная продукция (Молоко),10.51.11.111,,
223fz,32312720954_1,,32.99.12.120,,
223fz,32211247385_1,,95.11.10.130,,
223fz,32312805060_1,"Ремонт топливной системы снегоходов и снегоболотоходов RM,Stels",45.40.50.115,,
223fz,32312117973_1,Расходные материалы (картриджи) для принтера HP LaserJet 1300. Картридж HP 13А (Q2613A). Цвет печати черный.,28.23.25.000,,
223fz,32312207379_1,Кран ф50,28.14.13.131,,
223fz,32312232795_1,"Папка уголок. Должна быть предназначена для защиты документов от повреждений и доступа к ним сверху и с боку.  Должна быть изготовлена из пластика с полупрозрачной матовой поверхностью, плотностью 180 (+/- 1%)  мкм.",22.29.25.000,,
223fz,32312482193_1,Клей-карандаш,20.52.10.190,,
223fz,32312150027_1,"Набор чертежный (линейка 30 см, 2 угольника, транспортир)",22.29.25.000,,
223fz,32312388480_1,Губки для мытья посуды,13.95.10.190,,
223fz,32312329756_1,Поставка канцелярских товаров для нужд ФГБУ «Якутское УГМС»,32.99.15.110,,
223fz,32312997234_1,"Пластмассовая коронка, искусственный зуб фрезерованная  на CAD/CAM для имплантата с винтовой фиксацией, без стоимости комплектующих",86.23.19.000,,
223fz,32211530875_1,Поставка пластикового крепежа,27.33.13.130,,
223fz,32312831256_1,"Зажимы для бумаг ,25 мм",25.99.22.130,,
223fz,32211622404_1,,42.22.22.110,,
223fz,32211725696_1,Поставка мясной продукции,10.12.10.110,,
223fz,32211702111_1,Поставка ТСМ (Топливо судовое маловязкое),19.20.21.400,,
223fz,32211342737_1,"Пакеты полимерные однораз.для сбора,хранения и удаления мед.отходов  70 х 80 см 14 мкм класс Б",21.20.23.199,,
223fz,32313153234_1,,25.29.12,,
223fz,32312036382_1,Степлер мощный 23/6 23/23,25.99.22.130,,
223fz,32312138381_1,,22.29.25.000,,
223fz,32312482193_1,Точилка,25.71.13.110,,
223fz,32313026757_1,Лоток для бумаг вертикальный (2-х секционный),22.29.25.000,,
223fz,32211615490_1,Поставка шаровых кранов,28.14.13.131,,
223fz,32211109307_1,Корректор ленточный,20.30.22.160,,
223fz,32211762543_1,,43.29.19.190,,
223fz,32312869946_1,Ручка шариковая Тип 1,32.99.12.110,,
223fz,32211671205_1,Продукты питания (бакалея),10.39.22.110,,
223fz,32312621084_1,,32.99.12.110,,
223fz,32211675013_1,Шины автомобильные,22.11,,
223fz,32211664116_1,Молоко и молочная продукция,10.51.30.111,,
223fz,32211312749_1,"сок фруктовый, 3 л. стеклобанка",10.86.10.243,,
223fz,32312482193_1,Стержень микрографический,32.99.13.130,,
223fz,32312235144_1,Поставка канцелярских товаров и прочих офисных принадлежностей для нужд ГАУ ЦСП РБ им. Баталовой Р.А.,13.10.85.119,,
223fz,32211878042_1,Поставка мяса говядины 2 категории для ГАУЗ Брянская областная больница № 1,10.11.1,,
223fz,32312087085_1,,10.51.11.111,,
223fz,32312388480_1,Бумажные полотенца,17.22.11.130,,
223fz,32312441090_1,"Маркер перманентный.	Маркер со скошенным наконечником в пластиковом корпусе. Толщина линии письма 1.5-3 мм, в зависимости от силы нажатия на маркер и угла нанесения линия. Цвет - синий.",32.99.12.120,,
223fz,32312150484_1,Лоток для бумаг горизонтальный,22.29.25.000,,
223fz,32312230076_1,Папка-обложка не мелованная,17.23.13.193,,
223fz,32312091056_1,,42.22.22.110,,
223fz,32211605106_1,Говядина тушеная,10.13.15.111,,
223fz,32312071900_1,Ряженка,10.51.52.113,,
223fz,32312441090_1,Скобы для степлера. Скобы для степлера № 10 предназначены для степлеров со сшивающей способностью от 2 до 20 листов. Скобы выполнены из цинкового металла. В упаковке содержится не менее 1000 скоб.,25.99.23.000,,
44fz,0331100004423000271_,Заправка Canon 712,95.11.10.130,,
44fz,0372100054622000234_,"КРАН ШАРОВОЙ (PN 16, DN 100)",28.14.13.131,,
44fz,0831600005423000122_,Заправка картриджа  Brother DR-2075,95.11.10.190,,
44fz,0316100015223000579_,Кран шаровый полнопроходной Ду80 Ру25,28.14.13.131,,
44fz,0358300180323000050_,"Главный коротон MC-130 (МФУ Kyocera КМ FS-1028 MFP,  FS-1035 MFP,  FS-1130 MFP,  ECOSYS M2035dn, ECOSYS M2040dn)",95.11.10.120,,
44fz,0148300028023000004_,Средства для дезодорирования и ароматизации воздуха в помещениях,,20.41.41.000-00000029,
44fz,0322300061423000162_,Смеситель водоразборный,,28.14.12.110-00000019,
44fz,0358300180323000050_,Тонер-картридж TN-3480 (не менее 8 000 стр.) (МФУ Brother DCP-L550DN),95.11.10.120,,
44fz,0320400000423000033_,Воздухоотводчики,28.14.11.152,,
44fz,0338300006123000056_,Файл-вкладыш,,22.29.25.000-00000054,
44fz,0821500000623000004_,Отвертка,25.73.30.234,,
44fz,0304200003823000054_,Труба для внутренней канализации 110 серая ТР ВК 2.7 110/3000,22.21.29.110,,
44fz,0373100009923000018_,Гайки из черных металлов,25.94.11.130,,
44fz,0306200011523000109_,"Насадка рукоятки ультразвуковой хирургической системы для мягких тканей, одноразового использования",,32.50.50.190-00000078,
44fz,0373200006223000615_,Стол письменный,,31.01.10.000-00000004,
44fz,0167200003423006411_,АЦЕТИЛЦИСТЕИН,21.20.10.255,,True
44fz,0174500001123003969_,АЦЕТИЛЦИСТЕИН,21.20.10.255,,True
44fz,0338300020822000066_,АЦЕТИЛЦИСТЕИН,21.20.10.255,,True
44fz,0373100086923000876_,БЛЕОМИЦИН,21.20.10.211,,True
44fz,0373100086923000865_,БЛЕОМИЦИН,21.20.10.211,,True
44fz,0303200025123000156_,ТРАНЕКСАМОВАЯ КИСЛОТА,21.20.10.132,,True
44fz,0373200010822000333_,ИПРАТРОПИЯ БРОМИД,21.20.10.254,,True
44fz,0373200094123000325_,ИПРАТРОПИЯ БРОМИД,21.20.10.254,,True
44fz,0373200100123000583_,ИПРАТРОПИЯ БРОМИД,21.20.10.254,,True
44fz,0321300027622000018_,ПОЛИМЕТИЛСИЛОКСАНА ПОЛИГИДРАТ,21.20.10.116,,True
44fz,0321300022322000397_,ПОЛИПЕПТИДЫ ИЗ ГОЛОВНОГО МОЗГА ЭМБРИОНОВ СВИНЕЙ,21.20.10.239,,True
44fz,0873500001823010228_,КЛОТРИМАЗОЛ,21.20.10.151,,True
44fz,0174500001123003969_,НИТРОГЛИЦЕРИН,21.20.10.141,,True
44fz,0373100091422000702_,НИТРОГЛИЦЕРИН,21.20.10.141,,True
44fz,0373200152823000255_,НИТРОГЛИЦЕРИН,21.20.10.141,,True
44fz,1001200001022000234_,НИТРОГЛИЦЕРИН,21.20.10.141,,True
44fz,0321300020723000014_,НИТРОГЛИЦЕРИН,21.20.10.141,,True
44fz,0375200037423000042_,ПРЕГАБАЛИН,21.20.10.233,,True
44fz,0321300027622000018_,АЦИКЛОВИР,21.20.10.194,,True
44fz,0368400000222001288_,АЦИКЛОВИР,21.20.10.194,,True
44fz,0373200035122000040_,АЦИКЛОВИР,21.20.10.194,,True
44fz,0371500000323000060_,АЦИКЛОВИР,21.20.10.194,,True
44fz,0190200000323006384_,ВЕДОЛИЗУМАБ,21.20.10.214,,True
44fz,0873200009821005022_,ЦИКЛОСПОРИН,21.20.10.214,,True
44fz,0358100034721000003_,"Стирка белья (замачивание удаление пятен, стирка, полоскание, отжим, растряска, сушка, глажение), в соответствии с Постановлением Главного государственного санитарного врача РФ от 09.06.2003 п 131 « О введении в действие санитарно-эпидемиологических правил СП 3.5.1378 — 03»",96.01.11.000,,
44fz,0860200000821003729_,ПРОПОФОЛ,21.20.10.231,,True
44fz,0318300524321000022_,"Оказание услуг по обеспечению трехразовым лечебным горячим питанием пациентов, находящихся на стационарном лечении",56.10.11.129,,
44fz,0320400001923000102_,"Помощник капитана по радиоэлектронике, радиоспециалисты, (мужчины) до 40",86.21.10.190,,
44fz,0372200246622000008_,Камерная дезинфекция постельных принадлежностей,96.01.19.127,,
44fz,0127200000223002866_,Групповой комплект ЗИП,26.30.11.190,,
44fz,0358300180323000011_,"Ролик протяжки  (PULLEY,LEADING FEED ADF)  (36211110)  (МФУ Kyocera КМ FS-1028 MFP,  FS-1035 MFP,  FS-1130 MFP,  ECOSYS M2035dn, ECOSYS M2040dn)",95.11.10.120,,
44fz,0373200051822000503_,Шкаф деревянный для документов,,31.01.12.139-00000001,
44fz,0129100004723000001_,HP LaserJet 1606dn (восстановление картриджа),95.11.10.130,,
44fz,0373200138223000429_,Стол для переговоров,,31.01.12.110-00000003,
44fz,0372200285823000011_,"Возврат автобусного билета по территории Российской Федерации (билет, сегмент)",93.19.19.000,,
44fz,0331100004423000183_,Восстановление CF361A,95.11.10.130,,
44fz,0338200009423000009_,"Бумага туалетная из бумажной массы, бумаги, целлюлозной ваты и целлюлозных волокон и полотна из целлюлозных волокон",17.22.11.110,,
44fz,0162300005322000543_,Пильная шина,25.73.20.120,,
44fz,0343300002623000219_,"Маска лицевая анестезиологическая, одноразового использования",,32.50.21.121-00000100,
44fz,0127200000223006907_,Труба профильная,24.20.14.110,,
44fz,0839100000323000125_,Стеллаж офисный,,31.01.10.000-00000008,
44fz,0342300204922000035_,"Пробирка вакуумная для взятия образцов крови ИВД, с активатором свертывания",,32.50.50.000-00001483,
44fz,0358300180322000051_,Блок питания   (Термопринтер CUSTOM TG - 2480),95.11.10.120,,
44fz,0850200000422002294_,Огурцы,,01.13.32.000-00000002,
44fz,0131100013123000013_,Крышка фьюзера (входит в комплект узла закрепления),95.11.10.110,,
44fz,0150200003923000720_,Набор шестигранных ключей,25.73.30.175,,
44fz,0174500001122002518_,Восстановление/замена прошивки принтера Canon LBP-6650DN,95.11.10.190,,
44fz,0349100002723000259_,"Мочеприемник со сливным краном без крепления к пациенту, стерильный",,32.50.13.190-00006898,
44fz,0373200086722000666_,Свеча  зажигания для бензопилы,28.30.93.000,,
44fz,0864500000223005204_,Заправка картриджа HP CF280A,95.11.10.130,,
44fz,0373200314322000076_,Книга учета универсальная,,17.23.13.120-00000001,
44fz,0318200089022000079_,Клейкая лента,17.23.13.190,,
